1135	0	66	0	0
440	1	1540	0	0
91	0	136	0	0
1107	2	1547	0	0
77	0	863	0	0
1967	0	1554	0	0
1224	0	291	0	0
1351	1	1514	0	0
517	2	1510	0	0
1035	1	1957	0	0
610	0	795	0	0
1093	2	1503	0	0
1401	1	1871	0	0
53	2	1642	0	0
480	0	1178	0	0
1052	1	1594	0	0
2060	0	799	0	0
1344	1	1573	0	0
1467	2	1739	0	0
912	1	1845	0	0
1492	2	1507	0	0
190	1	1692	0	0
1666	2	1594	1	3
1207	0	242	0	0
1316	1	1603	0	0
88	1	1614	0	0
40	0	1762	0	0
114	2	374	0	0
735	0	649	0	0
862	2	1503	0	0
740	0	1355	1	4
227	2	1355	0	0
50	1	1513	0	0
509	1	1819	0	0
28	1	1516	0	0
539	2	1509	0	0
1269	2	1506	0	0
212	1	1715	0	0
524	2	1505	0	0
447	0	1415	0	0
1202	0	719	0	0
541	1	1872	0	0
1089	1	1962	0	0
716	0	1629	0	0
617	1	1752	0	0
1321	1	1545	0	0
1388	0	796	0	0
1979	0	1132	0	0
21	0	1355	1	4
1449	0	588	0	0
1915	0	391	0	0
1099	2	1503	0	0
191	1	586	0	0
662	0	408	0	0
1005	2	1355	0	0
1258	0	1355	1	4
168	0	544	0	0
1180	1	1994	0	0
587	1	1547	0	0
1116	1	1584	0	0
1366	2	1453	1	3
489	2	1503	0	0
26	1	1515	0	0
1356	2	1507	1	3
663	0	1355	1	4
1353	1	1537	0	0
1482	0	1703	0	0
1026	2	315	0	0
730	2	1505	0	0
541	1	1533	0	0
124	0	1660	0	0
1320	0	1446	0	0
427	1	1763	0	0
96	1	1631	0	0
1373	1	1521	0	0
350	2	374	0	0
368	0	2000	0	0
563	1	1538	0	0
301	1	1734	0	0
1498	0	859	0	0
970	1	1583	0	0
967	1	1936	0	0
939	1	1535	0	0
1343	1	1728	0	0
1554	0	409	0	0
901	1	1637	0	0
449	1	1743	0	0
217	2	1519	0	0
47	1	1561	0	0
958	2	605	0	0
1937	0	595	0	0
379	2	1740	0	0
966	2	1547	0	0
226	0	941	0	0
812	2	1505	0	0
1614	0	1269	0	0
2036	0	1232	0	0
1065	1	1686	0	0
1492	2	315	1	3
1067	1	1545	0	0
807	0	1355	1	4
1326	1	1514	0	0
631	1	1889	0	0
611	1	1513	0	0
826	0	1355	1	4
1900	0	1096	0	0
868	2	605	0	0
1506	2	88	1	3
1059	1	1529	0	0
55	1	1573	0	0
935	1	1913	0	0
1268	0	1355	1	4
247	1	1635	0	0
1294	0	911	0	0
563	2	1838	1	3
1303	2	1547	0	0
1176	1	1548	0	0
1075	1	1535	0	0
1425	2	1583	1	3
600	1	1514	0	0
537	0	1325	0	0
584	1	1821	0	0
394	1	1594	0	0
56	0	1271	0	0
120	0	1795	0	0
60	1	1584	0	0
2042	0	585	0	0
1410	0	703	0	0
212	1	1717	0	0
617	1	1556	0	0
534	0	1260	0	0
1089	1	1969	0	0
211	1	1704	0	0
50	1	1565	0	0
1098	2	443	0	0
1377	0	982	0	0
262	0	1835	0	0
303	1	1653	0	0
288	1	1727	0	0
212	1	1567	0	0
259	0	464	0	0
1801	0	863	0	0
327	0	1355	1	4
1186	0	285	0	0
1150	2	1547	0	0
552	2	1503	0	0
1496	2	1509	0	0
1672	0	712	0	0
1063	1	1859	0	0
1316	1	1628	0	0
260	1	1559	0	0
250	1	1655	0	0
1427	1	1732	0	0
789	2	1355	0	0
60	1	1558	0	0
499	2	1795	0	0
835	0	16	0	0
1578	0	1492	0	0
1167	1	1989	0	0
163	0	1219	0	0
1444	1	1758	0	0
1784	0	597	0	0
1403	0	1355	1	4
446	1	1507	0	0
471	0	846	0	0
88	1	1507	0	0
1134	2	1639	0	0
330	2	1503	0	0
1542	0	684	0	0
1114	0	1459	0	0
1259	2	39	0	0
54	1	1558	0	0
1190	1	1852	0	0
355	2	1736	0	0
427	1	1538	0	0
633	1	1891	0	0
1202	0	1007	0	0
29	1	1519	0	0
382	2	1547	0	0
1254	1	1812	0	0
506	0	1355	1	4
1598	0	192	0	0
318	2	1737	0	0
211	1	1702	0	0
463	1	887	0	0
531	1	1858	0	0
2	1	1605	0	0
815	0	1629	0	0
994	0	1099	0	0
1907	0	1667	0	0
564	1	1800	0	0
561	1	1518	0	0
1272	2	2012	0	0
974	1	1939	0	0
73	2	1035	1	3
1114	0	379	0	0
281	0	119	0	0
496	0	1838	0	0
80	1	1507	0	0
1983	0	232	0	0
943	1	1548	0	0
1391	2	605	0	0
306	0	1355	1	4
1854	0	364	0	0
427	1	605	0	0
1474	2	1503	0	0
26	0	1355	1	4
399	1	1788	0	0
1445	1	2057	0	0
