node_id,old_index
0,5211
1,4961
2,4397
3,3188
4,3712
5,1849
6,537
7,417
8,4420
9,2398
10,2498
11,4406
12,738
13,934
14,1475
15,628
16,1076
17,298
18,496
19,103
20,261
21,984
22,2118
23,1359
24,4408
25,2401
26,1010
27,474
28,580
29,1293
30,4378
31,1141
32,5209
33,4402
34,1561
35,2655
36,2907
37,705
38,1960
39,62
40,1476
41,465
42,480
43,665
44,430
45,589
46,213
47,2286
48,5314
49,2174
50,814
51,613
52,795
53,796
54,2358
55,297
56,2201
57,724
58,226
59,3762
60,786
61,2779
62,2294
63,5406
64,4381
65,572
66,4737
67,704
68,4744
69,4438
70,190
71,193
72,1038
73,2422
74,4391
75,3236
76,4409
77,4972
78,1351
79,520
80,1375
81,575
82,29
83,4380
84,392
85,2548
86,538
87,383
88,1722
89,4990
90,780
91,2405
92,5150
93,152
94,4379
95,729
96,4419
97,5542
98,299
99,2265
100,269
101,4386
102,4414
103,4394
104,4119
105,3400
106,1290
107,4401
108,272
109,721
110,1847
111,640
112,1533
113,959
114,5456
115,133
116,690
117,233
118,1011
119,853
120,3100
121,3818
122,4799
123,502
124,91
125,770
126,207
127,1053
128,225
129,701
130,197
131,4477
132,164
133,470
134,932
135,899
136,557
137,2061
138,1082
139,1158
140,2776
141,5151
142,5500
143,5462
144,498
145,158
146,95
147,3744
148,1417
149,1498
150,4458
151,5027
152,777
153,4470
154,1338
155,5115
156,3096
157,5195
158,5507
159,2799
160,3028
161,4919
162,931
163,434
164,633
165,585
166,522
167,2218
168,1640
169,4803
170,2590
171,2689
172,591
173,3196
174,3323
175,880
176,96
177,2535
178,752
179,111
180,2686
181,452
182,4435
183,1990
184,2237
185,2378
186,1575
187,68
188,858
189,1313
190,2341
191,1339
192,2205
193,1942
194,1071
195,2483
196,281
197,2112
198,1407
199,517
200,4426
201,4455
202,542
203,186
204,1527
205,414
206,4734
207,4675
208,2880
209,4645
210,3070
211,1352
212,4955
213,842
214,2335
215,223
216,808
217,370
218,5522
219,3836
220,468
221,3056
222,2661
223,5468
224,4954
225,14
226,3349
227,5487
228,892
