node_id,old_index
0,7076.0
1,9436.0
2,26239.0
3,18147.0
4,9364.0
5,7353.0
6,41.0
7,1868.0
8,82.0
9,85.0
10,9420.0
11,810.0
12,1106.0
13,22197.0
14,4539.0
15,1059.0
16,26090.0
17,15859.0
18,23762.0
19,2065.0
20,1733.0
21,431.0
22,251.0
23,9361.0
24,2.0
25,2320.0
26,22897.0
27,1706.0
28,111.0
29,5474.0
30,811.0
31,1677.0
32,12416.0
33,4374.0
34,859.0
35,24598.0
36,1478.0
37,24645.0
38,787.0
39,349.0
40,24538.0
41,6959.0
42,860.0
43,24023.0
44,58.0
45,4383.0
46,26539.0
47,6653.0
48,65.0
49,5439.0
50,543.0
51,6826.0
52,777.0
53,1002.0
54,4366.0
55,12395.0
56,24.0
57,522.0
58,5637.0
59,26116.0
60,6926.0
61,15334.0
62,26454.0
63,518.0
64,14026.0
65,5093.0
66,1849.0
67,586.0
68,21412.0
69,6805.0
70,351.0
71,1790.0
72,818.0
73,13987.0
74,1109.0
75,9330.0
76,15992.0
77,9316.0
78,24275.0
79,8112.0
80,1830.0
81,944.0
82,6006.0
83,1046.0
84,15567.0
85,11709.0
86,4553.0
87,4532.0
88,25386.0
89,549.0
90,1083.0
91,25071.0
92,4590.0
93,162.0
94,26470.0
95,15895.0
96,23419.0
97,7698.0
98,26629.0
99,265.0
100,343.0
101,12.0
102,15927.0
103,5950.0
104,9187.0
105,6729.0
106,24778.0
107,6177.0
108,1003.0
109,22579.0
110,12316.0
111,4362.0
112,25478.0
113,1620.0
114,11579.0
115,22505.0
116,1639.0
117,7765.0
118,26419.0
119,22191.0
120,12423.0
121,9311.0
122,6774.0
123,1817.0
124,22686.0
125,421.0
126,4364.0
127,9143.0
128,589.0
129,15197.0
130,23152.0
131,3867.0
132,105.0
133,390.0
134,26492.0
135,23845.0
136,43.0
137,169.0
138,64.0
139,8419.0
140,16017.0
141,595.0
142,26352.0
143,9548.0
144,9517.0
145,624.0
146,1088.0
147,718.0
148,785.0
149,769.0
150,876.0
151,5574.0
152,5904.0
153,5675.0
154,15470.0
155,25729.0
156,6085.0
157,923.0
158,9532.0
159,7794.0
160,6741.0
161,8431.0
162,7099.0
163,47.0
164,276.0
165,604.0
166,134.0
167,22694.0
168,5633.0
169,4524.0
170,16096.0
171,16074.0
172,17711.0
173,1039.0
174,12578.0
175,1044.0
176,23553.0
177,2262.0
178,5052.0
179,6747.0
180,9618.0
181,11477.0
182,477.0
183,12707.0
184,392.0
185,1121.0
186,1145.0
187,6700.0
188,2236.0
189,7075.0
190,5219.0
191,795.0
192,25644.0
193,9575.0
194,5086.0
195,5196.0
196,2144.0
